elapsed_s,esp_ms,state,clutch_mode,angle_deg,motor3_pwm,error,motor2_count,target_count,position_error,motor2_pwm,target_step
0.000,7305369,0,0,0.0,0,0,409,409,0,0,0
0.100,7305469,0,0,0.0,0,0,409,409,0,0,0
0.200,7305569,0,0,0.0,0,0,409,409,0,0,0
0.300,7305669,0,0,0.0,0,0,409,409,0,0,0
0.400,7305769,0,0,0.0,0,0,409,409,0,0,0
0.513,7305881,0,0,0.0,0,0,409,409,0,0,0
0.601,7305969,0,0,0.0,0,0,409,409,0,0,0
0.700,7306069,0,0,0.0,0,0,409,409,0,0,0
0.800,7306169,0,0,0.0,0,0,409,409,0,0,0
0.900,7306269,0,0,0.0,0,0,409,409,0,0,0
1.000,7306369,0,0,0.0,0,0,409,409,0,0,0
1.100,7306469,0,0,0.0,0,0,409,409,0,0,0
1.200,7306569,0,0,0.0,0,0,409,409,0,0,0
1.300,7306669,0,0,0.0,0,0,409,409,0,0,0
1.401,7306769,0,0,0.0,0,0,409,409,0,0,0
1.500,7306869,0,0,0.0,0,0,409,409,0,0,0
1.600,7306969,0,0,0.0,0,0,409,409,0,0,0
1.700,7307069,0,0,0.0,0,0,409,409,0,0,0
1.800,7307169,0,0,0.0,0,0,409,409,0,0,0
1.900,7307269,0,0,0.0,0,0,409,409,0,0,0
2.000,7307369,0,0,0.0,0,0,409,409,0,0,0
2.100,7307469,0,0,0.0,0,0,409,409,0,0,0
2.200,7307569,0,0,0.0,0,0,409,409,0,0,0
2.300,7307669,0,0,0.0,0,0,409,409,0,0,0
2.400,7307769,0,0,0.0,0,0,409,409,0,0,0
2.514,7307881,0,0,0.0,0,0,409,409,0,0,0
2.600,7307969,0,0,0.0,0,0,409,409,0,0,0
2.700,7308069,0,0,0.0,0,0,409,409,0,0,0
2.800,7308169,0,0,0.0,0,0,409,409,0,0,0
2.900,7308269,0,0,0.0,0,0,409,409,0,0,0
3.000,7308369,0,0,0.0,0,0,409,409,0,0,0
3.100,7308469,0,0,0.0,0,0,409,409,0,0,0
3.200,7308569,0,0,0.0,0,0,409,409,0,0,0
3.300,7308669,0,0,0.0,0,0,409,409,0,0,0
3.400,7308769,0,0,0.0,0,0,409,409,0,0,0
3.500,7308869,0,0,0.0,0,0,409,409,0,0,0
3.600,7308969,0,0,0.0,0,0,409,409,0,0,0
3.700,7309069,0,0,0.0,0,0,409,409,0,0,0
3.800,7309169,0,0,0.0,0,0,409,409,0,0,0
3.901,7309269,0,0,0.0,0,0,409,409,0,0,0
4.000,7309369,0,0,0.0,0,0,409,409,0,0,0
4.100,7309469,0,0,0.0,0,0,409,409,0,0,0
4.200,7309569,0,0,0.0,0,0,409,409,0,0,0
4.300,7309669,0,0,0.0,0,0,409,409,0,0,0
4.400,7309769,0,0,0.0,0,0,409,409,0,0,0
